1,计算机软件,235,0,0,0,11,5,0,0,0,9
2,销售管理,1528,0,16,7,126,4,0,0,0,146
3,市场/营销,757,1,12,10,54,4,0,0,0,66
4,销售人员,5842,2,71,161,159,7,0,0,0,187
5,计算机硬件,18,0,0,0,2,2,0,0,0,3
6,互联网开发及应用,106,0,0,0,11,0,0,0,0,29
7,IT-管理,72,0,0,0,1,0,0,0,0,1
8,IT-品管、技术支持及其它,81,0,2,0,5,1,0,0,0,5
9,通信技术,26,0,0,1,0,2,0,0,0,2
10,电子/电器/半导体/仪器仪表,42,0,1,0,0,2,2,0,0,3
11,财务/审计/税务,168,0,6,3,47,9,0,0,0,27
12,工程/机械/能源,198,0,0,0,39,13,0,0,0,10
13,人力资源,105,0,3,0,26,7,0,0,0,19
14,高级管理,23,0,0,0,9,0,0,0,0,4
15,物流/仓储,256,4,11,6,16,0,0,0,0,43
16,艺术/平面/动画设计,82,0,0,0,14,0,0,0,0,25
17,科研人员,6,0,0,0,0,0,0,0,0,1
18,律师/法务,16,0,0,0,4,0,0,0,0,1
19,教师,89,0,0,0,3,7,0,0,0,4
20,医院/医疗/护理,71,0,0,0,9,0,0,0,0,2
21,咨询/顾问,645,0,12,0,38,4,0,0,0,17
22,交通运输服务,48,4,1,0,0,0,0,0,0,13
23,翻译,4,0,0,0,4,0,0,0,0,0
24,建筑工程/道桥/园艺,164,0,1,0,23,3,0,0,0,9
25,银行,5,0,0,0,1,0,0,0,0,0
26,行政/后勤,454,5,2,11,80,3,0,0,0,76
27,客服及技术支持,362,0,6,0,20,1,0,0,0,27
28,证券/金融/投资,424,0,6,0,11,1,0,0,0,13
29,保险,140,1,0,0,4,0,0,0,0,2
30,生产/营运,219,0,2,3,2,0,0,0,0,6
31,质量体系/安全/环境保护,48,0,0,0,18,2,0,0,0,5
32,技工,591,2,0,2,2,1,0,0,0,55
33,服装/纺织/皮革,4,0,0,0,0,0,0,0,0,2
34,采购,11,0,0,1,4,1,0,0,0,1
35,贸易,9,0,0,0,4,1,0,0,0,1
36,生物/化工/制药/医疗器械,42,0,1,0,3,4,0,0,0,4
37,广告,16,0,0,0,4,0,0,0,0,0
38,影视/媒体,5,0,0,0,3,0,0,0,0,1
39,文字/媒体/写作,25,0,0,0,6,0,0,0,0,4
40,房地产,695,0,0,6,9,0,0,0,0,30
41,物业管理,74,0,2,1,3,0,0,0,0,7
42,餐饮/娱乐,781,6,12,7,6,0,0,0,0,79
43,酒店/旅游,79,0,0,0,1,0,0,0,0,9
44,美容/保健,8,0,0,0,0,0,0,0,0,2
45,百货/连锁/零售服务,182,3,2,2,3,0,0,0,0,8
46,保安/家政/其他服务,60,0,1,0,0,0,0,0,0,7
47,毕业生类,512,0,2,0,18,4,0,0,0,30
48,其他,439,0,9,3,36,0,0,0,0,48
总体情况【招聘单位总数：301　　招聘职位总数：2405　　 招聘人数总数：15767】,,,,,,,,,,,
