1,计算机软件,186,1,0,0,13,4,0,0,0,12
2,销售管理,3257,5,31,32,295,20,0,0,0,217
3,市场/营销,2612,1,16,13,148,13,0,0,0,146
4,销售人员,11264,16,124,200,303,14,0,0,0,437
5,计算机硬件,185,0,3,0,0,0,0,0,0,8
6,互联网开发及应用,204,0,0,0,30,3,0,0,0,21
7,IT-管理,36,0,0,0,8,0,0,0,0,4
8,IT-品管、技术支持及其它,34,0,1,0,5,0,0,0,0,7
9,通信技术,33,0,0,0,7,0,0,0,0,2
10,电子/电器/半导体/仪器仪表,81,0,2,1,17,1,0,0,0,3
11,财务/审计/税务,302,2,11,7,77,4,0,0,0,39
12,工程/机械/能源,607,1,3,7,44,13,0,0,0,17
13,人力资源,266,0,5,0,119,10,0,0,0,17
14,高级管理,54,0,0,2,5,2,1,0,0,4
15,物流/仓储,358,3,20,4,12,2,0,0,0,61
16,艺术/平面/动画设计,332,0,3,4,51,8,0,0,0,21
17,科研人员,1,0,0,0,0,1,0,0,0,0
18,教师,341,0,2,2,41,10,0,0,0,8
19,医院/医疗/护理,184,0,0,0,26,1,0,0,0,4
20,咨询/顾问,546,0,2,1,29,1,0,0,0,33
21,交通运输服务,119,5,6,1,8,0,0,0,0,21
22,翻译,15,0,0,0,4,2,0,0,0,1
23,建筑工程/道桥/园艺,153,0,1,1,29,4,0,0,0,6
24,行政/后勤,801,3,19,25,157,22,0,0,0,143
25,客服及技术支持,1246,0,14,37,67,2,0,0,0,33
26,证券/金融/投资,1052,0,17,0,41,1,0,0,0,49
27,保险,287,0,2,6,9,6,0,0,0,0
28,生产/营运,74,0,0,0,16,9,0,0,0,11
29,质量体系/安全/环境保护,109,0,0,2,21,1,0,0,0,6
30,技工,880,4,25,5,7,3,0,0,0,50
31,采购,40,0,4,0,10,0,0,0,0,0
32,贸易,2,0,0,0,0,1,0,0,0,0
33,生物/化工/制药/医疗器械,100,0,2,1,5,8,0,0,0,7
34,广告,36,0,0,0,13,0,0,0,0,1
35,影视/媒体,4,0,0,0,0,0,0,0,0,4
36,文字/媒体/写作,175,0,4,0,8,0,0,0,0,6
37,房地产,806,26,0,0,25,0,0,0,0,31
38,物业管理,66,0,0,5,12,0,0,0,0,10
39,餐饮/娱乐,467,10,4,0,0,0,0,0,0,64
40,酒店/旅游,54,4,0,4,3,0,0,0,0,10
41,美容/保健,130,0,2,2,0,0,0,0,0,7
42,百货/连锁/零售服务,168,0,2,0,9,0,0,0,0,5
43,保安/家政/其他服务,152,3,4,3,8,0,0,0,0,17
44,毕业生类,1456,0,0,1,68,1,0,0,0,67
45,其他,682,0,13,0,77,2,0,0,0,77
总体情况【招聘单位总数：498　　招聘职位总数：4476　　 招聘人数总数：29957】,,,,,,,,,,,
